timestamp_s,voltage_V,current_A
328.0,9.0094,0.403
329.0,9.0094,0.398
330.0,8.9998,0.4067
331.0,8.9865,0.401
332.0,9.0011,0.4025
333.0,8.9898,0.3982
334.0,9.0146,0.4029
335.0,8.9978,0.401
336.0,8.9876,0.3989
337.0,8.9952,0.3968
338.0,9.0062,0.3993
339.0,8.9915,0.399
340.0,8.9877,0.4026
341.0,9.0037,0.3993
342.0,9.0037,0.3942
343.0,8.9924,0.4019
344.0,8.9929,0.4039
345.0,9.0035,0.395
346.0,8.9783,0.4054
347.0,8.9789,0.4042
348.0,8.9892,0.3981
349.0,8.9968,0.3966
350.0,9.0047,0.4032
351.0,9.0221,0.3959
352.0,9.0129,0.398
353.0,8.9976,0.3961
354.0,8.9997,0.4
355.0,8.985,0.4044
356.0,8.9997,0.4011
357.0,8.9957,0.4031
358.0,9.0048,0.3989
359.0,8.9876,0.4003
360.0,9.0078,0.3963
361.0,9.023,0.3997
362.0,8.9984,0.3978
363.0,9.006,0.3995
364.0,9.0104,0.3993
365.0,8.994,0.3991
366.0,9.0034,0.4063
367.0,9.0002,0.4053
368.0,9.0015,0.4042
369.0,8.9884,0.4054
370.0,9.0004,0.4043
371.0,9.0075,0.3999
372.0,9.0218,0.3996
373.0,9.0144,0.4007
374.0,9.0323,0.3994
375.0,8.9885,0.3969
376.0,9.0131,0.4009
377.0,9.0028,0.3953
378.0,9.0328,0.4004
379.0,8.9879,0.397
380.0,8.9874,0.3998
381.0,8.991,0.4006
382.0,8.9681,0.3989
383.0,8.9921,0.3951
384.0,8.9886,0.3964
385.0,9.0023,0.4014
386.0,9.0051,0.3983
387.0,9.0281,0.4017
388.0,9.0143,0.4
389.0,8.9913,0.3994
390.0,8.9865,0.401
391.0,9.0074,0.398
392.0,8.9802,0.4012
393.0,9.0275,0.3987
394.0,9.0177,0.4076
395.0,8.993,0.3966
396.0,8.9743,0.3989
397.0,9.0203,0.399
398.0,8.9983,0.3959
399.0,9.0186,0.4022
400.0,8.9761,0.3987
401.0,8.991,0.3929
402.0,9.0001,0.4021
403.0,9.0007,0.3981
404.0,8.9932,0.3997
405.0,9.0093,0.402
406.0,8.984,0.3989
407.0,8.9979,0.3989
408.0,9.0018,0.4074
409.0,9.0077,0.3935
410.0,9.0107,0.3961
411.0,8.9831,0.3967
412.0,8.977,0.4054
413.0,9.0192,0.3981
414.0,9.005,0.4007
415.0,8.9888,0.3986
416.0,9.0233,0.4018
417.0,9.0017,0.4
418.0,9.0177,0.4008
419.0,9.001,0.4039
420.0,9.0309,0.4013
421.0,9.0263,0.3978
422.0,8.9963,0.4009
423.0,9.0146,0.4073
424.0,9.0097,0.4017
425.0,9.0205,0.4005
426.0,8.9855,0.3959
427.0,9.0103,0.4022
428.0,9.0159,0.4026
429.0,8.9736,0.4009
430.0,8.9823,0.4003
431.0,8.9694,0.4085
432.0,8.996,0.4026
433.0,9.0108,0.4037
434.0,9.0225,0.4002
435.0,9.0011,0.3996
436.0,9.0244,0.4019
437.0,8.9793,0.3996
438.0,8.9744,0.3998
439.0,8.9992,0.4014
440.0,9.0058,0.3985
441.0,8.9995,0.4007
442.0,8.969,0.4002
443.0,8.9987,0.4029
444.0,8.9804,0.3982
445.0,9.01,0.394
446.0,9.0055,0.3991
447.0,8.9859,0.4012
448.0,8.9923,0.4029
449.0,8.9841,0.3979
450.0,8.9991,0.4016
451.0,9.0143,0.4034
452.0,8.9852,0.4023
453.0,9.0076,0.3976
454.0,8.992,0.398
455.0,8.9881,0.4013
456.0,8.9984,0.4049
457.0,8.9845,0.4
458.0,8.9917,0.3995
459.0,8.982,0.3959
460.0,9.0295,0.3989
461.0,9.0005,0.3979
462.0,8.9895,0.4001
463.0,9.0032,0.3955
464.0,8.9983,0.399
465.0,8.9967,0.397
466.0,9.0092,0.4028
467.0,9.0114,0.3974
468.0,8.992,0.3983
469.0,8.9914,0.4008
470.0,8.9959,0.3986
471.0,8.9655,0.4071
472.0,8.9773,0.4028
473.0,9.0205,0.4001
474.0,9.0247,0.4011
475.0,8.9963,0.3929
476.0,9.0086,0.4037
477.0,9.0047,0.4015
478.0,9.0462,0.3998
479.0,9.0168,0.4017
480.0,8.9981,0.4021
481.0,8.9857,0.3988
482.0,8.9759,0.4011
483.0,9.0031,0.4031
484.0,8.9887,0.4014
485.0,8.9787,0.3992
486.0,8.9903,0.4009
487.0,8.9838,0.4041
488.0,9.0253,0.4024
489.0,9.0132,0.3965
490.0,8.9999,0.4018
491.0,9.0222,0.4014
492.0,9.0012,0.4035
493.0,8.9871,0.4001
494.0,9.0228,0.3989
495.0,9.0081,0.3959
496.0,8.9844,0.3979
497.0,8.9971,0.4036
498.0,8.9869,0.4006
499.0,8.9793,0.3997
500.0,9.0139,0.4039
501.0,9.0286,0.4033
502.0,8.979,0.3978
503.0,9.0084,0.4036
504.0,8.9902,0.395
505.0,8.9927,0.4014
506.0,8.9911,0.401
507.0,8.987,0.4034
508.0,9.0007,0.4011
509.0,8.9875,0.3993
510.0,9.0041,0.3995
511.0,8.9992,0.4081
512.0,8.9964,0.4002
513.0,8.9864,0.4018
514.0,8.9913,0.3939
515.0,9.0113,0.3975
516.0,9.0075,0.4016
517.0,8.9853,0.3952
518.0,9.0015,0.4016
519.0,9.0113,0.3978
520.0,8.975,0.3969
521.0,9.0082,0.3978
522.0,8.9901,0.4046
523.0,9.0086,0.401
524.0,8.9886,0.3973
525.0,8.9729,0.4023
526.0,8.9756,0.4025
527.0,9.0007,0.3989
528.0,9.0039,0.4029
529.0,8.9864,0.403
530.0,9.0096,0.4026
531.0,8.9751,0.398
532.0,8.999,0.3965
533.0,8.9818,0.3949
534.0,8.9902,0.398
535.0,9.0007,0.3989
536.0,8.9871,0.3991
537.0,8.9942,0.3999
538.0,9.0151,0.4052
539.0,8.9913,0.399
540.0,9.0125,0.3999
541.0,8.9831,0.3945
542.0,9.0079,0.4067
543.0,9.0216,0.3961
544.0,8.9629,0.3979
545.0,8.988,0.4021
546.0,9.0087,0.4007
547.0,8.997,0.4049
548.0,9.0056,0.4022
549.0,8.9909,0.3998
550.0,9.0013,0.4031
551.0,8.9977,0.4035
552.0,9.0175,0.398
553.0,9.0038,0.4029
554.0,9.0051,0.3993
555.0,8.9938,0.3997
556.0,8.9927,0.4004
557.0,8.9935,0.3989
558.0,9.0059,0.3987
559.0,8.9937,0.403
560.0,9.0043,0.3954
561.0,9.0311,0.3968
562.0,9.0131,0.402
563.0,8.9951,0.3998
564.0,9.018,0.403
565.0,8.9939,0.4011
566.0,8.9694,0.396
567.0,8.9849,0.4002
568.0,8.9719,0.4016
569.0,8.9947,0.4007
570.0,9.0003,0.3986
571.0,9.0251,0.3992
572.0,9.0049,0.3983
573.0,8.9967,0.396
574.0,9.0124,0.3956
575.0,8.9668,0.4012
576.0,9.0035,0.3974
577.0,9.0116,0.4017
578.0,8.9778,0.3982
579.0,9.0172,0.3961
580.0,9.0051,0.3988
581.0,8.9938,0.4063
582.0,9.0095,0.3997
583.0,9.0341,0.4019
584.0,9.0027,0.4005
585.0,9.0037,0.3958
586.0,8.9931,0.4043
587.0,8.9873,0.3993
588.0,9.0125,0.3961
589.0,8.9872,0.3985
590.0,9.0011,0.3994
591.0,8.9928,0.4022
592.0,9.0072,0.398
593.0,9.005,0.4079
594.0,9.0156,0.3972
595.0,8.9923,0.4018
596.0,8.996,0.3941
597.0,8.9853,0.3996
598.0,8.9933,0.4011
599.0,9.0057,0.3966
600.0,9.0114,0.4045
601.0,8.9862,0.4013
602.0,9.013,0.399
603.0,9.0203,0.4013
604.0,9.0062,0.3982
605.0,9.0282,0.4038
606.0,8.9884,0.403
607.0,8.9813,0.4011
608.0,8.9733,0.4018
609.0,9.0224,0.3956
610.0,9.0098,0.4044
611.0,8.9992,0.3997
612.0,9.0042,0.4031
613.0,8.9831,0.4022
614.0,9.0367,0.403
615.0,9.0019,0.3969
616.0,9.0016,0.3972
617.0,9.0109,0.4067
618.0,9.0072,0.3954
619.0,9.0034,0.3967
620.0,8.9881,0.4001
621.0,9.0071,0.4001
622.0,9.0282,0.3984
623.0,9.0202,0.4018
624.0,9.0239,0.4027
625.0,8.9923,0.3999
626.0,8.9852,0.3992
627.0,8.9981,0.3999
628.0,9.0008,0.3985
629.0,9.0164,0.3949
630.0,8.9746,0.4009
631.0,9.0229,0.4023
632.0,8.9976,0.3995
633.0,8.9936,0.3932
634.0,8.9848,0.3983
635.0,8.9752,0.4027
636.0,9.0123,0.3957
637.0,9.0011,0.4021
638.0,8.9807,0.3987
639.0,8.9806,0.3999
640.0,8.995,0.3979
641.0,9.025,0.3966
642.0,8.9961,0.4043
643.0,8.9775,0.4024
644.0,8.9963,0.4019
645.0,8.9959,0.4027
646.0,8.9595,0.4015
647.0,8.9992,0.4028
648.0,8.9965,0.398
649.0,9.0104,0.4041
650.0,9.0277,0.4039
651.0,9.0169,0.4011
652.0,8.996,0.3991
653.0,8.9834,0.3963
654.0,9.0386,0.4007
655.0,9.0009,0.4051
656.0,9.0002,0.3965
657.0,8.9996,0.4031
658.0,9.003,0.3986
659.0,8.9978,0.3988
660.0,8.9914,0.3965
661.0,8.9918,0.3977
662.0,8.9995,0.4019
663.0,8.9918,0.4023
664.0,8.9893,0.4007
665.0,9.0016,0.3985
666.0,8.9962,0.3967
667.0,9.0226,0.4002
668.0,8.9602,0.3989
669.0,9.0164,0.4006
670.0,9.0187,0.399
671.0,8.9689,0.3991
672.0,8.9949,0.4005
673.0,8.9944,0.4011
674.0,8.9789,0.4037
675.0,8.9883,0.399
676.0,8.9833,0.4016
677.0,9.0263,0.4054
678.0,9.014,0.4017
679.0,9.0191,0.4035
680.0,9.0108,0.3981
681.0,8.9831,0.3978
682.0,8.9921,0.3995
683.0,9.0073,0.3998
684.0,8.9817,0.4032
685.0,9.0107,0.3978
686.0,8.9964,0.3997
687.0,8.9944,0.4032
688.0,9.0107,0.4006
689.0,9.0067,0.4
690.0,8.9946,0.4007
691.0,9.0174,0.3966
692.0,8.9838,0.3966
693.0,9.0092,0.3952
694.0,9.0089,0.4006
695.0,8.9954,0.4028
696.0,9.0049,0.4023
697.0,8.9812,0.4034
698.0,9.0139,0.4044
699.0,8.9972,0.4004
700.0,8.9922,0.3998
701.0,9.0157,0.4044
702.0,8.9894,0.3979
703.0,8.9789,0.3965
704.0,8.9767,0.399
705.0,9.0091,0.3986
706.0,8.9808,0.4001
707.0,9.0263,0.3974
708.0,8.9688,0.4011
709.0,9.0254,0.3983
710.0,9.0032,0.4037
711.0,8.9985,0.3964
712.0,8.9918,0.3996
713.0,9.006,0.399
714.0,8.9994,0.4007
715.0,9.0165,0.4028
716.0,9.0017,0.4008
717.0,9.0023,0.3996
718.0,8.9945,0.4021
719.0,8.9991,0.4025
720.0,9.0046,0.4008
721.0,8.9743,0.4012
722.0,8.9798,0.4019
723.0,9.0111,0.3951
724.0,9.0026,0.3989
725.0,8.9972,0.4011
726.0,9.0003,0.3991
727.0,9.0052,0.3991
728.0,8.9919,0.4011
729.0,8.9883,0.4012
730.0,9.0029,0.4014
731.0,8.9853,0.3976
732.0,9.0061,0.3957
733.0,8.9745,0.4024
734.0,9.0154,0.3978
735.0,9.0071,0.3976
736.0,9.0038,0.3973
737.0,9.0147,0.4035
738.0,9.025,0.4006
739.0,9.0152,0.401
740.0,8.9724,0.4021
741.0,8.9808,0.3999
742.0,8.9906,0.403
743.0,9.0004,0.3964
744.0,9.0078,0.3967
745.0,8.9891,0.3966
746.0,9.0028,0.4013
747.0,8.9887,0.4015
748.0,8.9908,0.3986
749.0,8.9789,0.3993
750.0,8.9862,0.4038
751.0,8.9797,0.3979
752.0,8.9854,0.4009
753.0,9.0158,0.3979
754.0,8.9858,0.4033
755.0,9.0395,0.4019
756.0,9.0074,0.3958
757.0,9.0028,0.3992
758.0,8.9871,0.3938
759.0,9.0105,0.4027
760.0,8.9914,0.4061
761.0,9.0018,0.3935
762.0,9.0384,0.3957
763.0,8.9986,0.4005
764.0,9.0172,0.3999
765.0,8.9895,0.3988
766.0,8.9995,0.3948
767.0,9.0266,0.401
768.0,8.9906,0.4027
769.0,9.0272,0.4085
770.0,9.0106,0.4039
771.0,8.9916,0.3961
772.0,9.0095,0.4
773.0,9.0146,0.4018
774.0,9.0093,0.3979
775.0,8.9764,0.4023
776.0,8.9891,0.4021
777.0,8.9963,0.4037
778.0,8.9989,0.4024
779.0,9.0093,0.4009
780.0,9.0027,0.3981
781.0,8.98,0.3961
782.0,9.0057,0.4007
783.0,9.0092,0.3988
784.0,9.0084,0.3991
785.0,9.0162,0.4034
786.0,9.0125,0.4041
787.0,9.0069,0.3963
788.0,8.9989,0.3994
789.0,8.9751,0.3987
790.0,9.0064,0.4009
791.0,9.0031,0.3932
792.0,9.0041,0.3956
793.0,8.9808,0.3996
794.0,8.9838,0.4024
795.0,9.0158,0.4002
796.0,8.9994,0.402
797.0,9.0102,0.4006
798.0,9.0004,0.4038
799.0,9.0004,0.4045
800.0,9.0141,0.3977
801.0,8.9923,0.4027
802.0,9.0014,0.4015
803.0,8.9931,0.4075
804.0,8.9935,0.3976
805.0,8.9954,0.3996
806.0,9.0033,0.3969
807.0,8.9928,0.3971
808.0,9.0188,0.4012
809.0,8.9866,0.4006
810.0,8.9972,0.4016
811.0,8.9934,0.4016
812.0,9.0217,0.3993
813.0,9.0029,0.3993
814.0,9.0155,0.3971
815.0,8.9777,0.3979
816.0,9.004,0.3998
817.0,9.0133,0.4006
818.0,9.0012,0.4021
819.0,9.016,0.4018
820.0,8.9922,0.4047
821.0,9.0211,0.3971
822.0,9.0345,0.3993
823.0,8.9946,0.3973
824.0,8.9933,0.4038
825.0,9.0218,0.3985
826.0,9.0237,0.4035
827.0,8.9922,0.4044
828.0,8.9937,0.4012
829.0,8.9958,0.4009
830.0,8.9798,0.4001
831.0,8.9862,0.399
832.0,8.9849,0.3987
833.0,8.9885,0.3996
834.0,8.9995,0.4055
835.0,9.0035,0.3969
836.0,9.0233,0.4006
837.0,8.985,0.4021
838.0,9.0148,0.3991
839.0,8.9968,0.4012
840.0,8.9993,0.3955
841.0,9.0101,0.404
842.0,8.9832,0.4034
843.0,9.0057,0.3997
844.0,9.0025,0.3974
845.0,9.0074,0.4024
846.0,9.0043,0.3966
847.0,9.0368,0.397
848.0,8.9904,0.3998
849.0,8.992,0.4046
850.0,8.9907,0.4019
851.0,8.9917,0.3981
852.0,8.9904,0.395
853.0,9.0178,0.4001
854.0,9.0213,0.4008
855.0,8.9914,0.3998
856.0,8.9875,0.4054
857.0,9.0071,0.3996
858.0,8.9917,0.3932
859.0,9.0095,0.3988
860.0,9.003,0.4014
861.0,8.9773,0.4012
862.0,9.0232,0.3995
863.0,9.0269,0.399
864.0,8.9908,0.394
865.0,8.9942,0.4003
866.0,9.0043,0.399
867.0,9.005,0.4007
868.0,9.0099,0.4015
869.0,9.0302,0.4037
870.0,8.9973,0.3971
871.0,8.988,0.3961
872.0,8.9793,0.3983
873.0,8.989,0.3978
874.0,8.9995,0.3975
875.0,9.0269,0.4043
876.0,8.9922,0.4004
877.0,9.0034,0.4059
878.0,8.9998,0.4
879.0,9.0178,0.3965
880.0,9.0379,0.3976
881.0,8.992,0.4031
882.0,8.9927,0.3966
883.0,9.0157,0.4017
884.0,9.0102,0.3989
885.0,9.0277,0.3972
886.0,9.0088,0.4042
887.0,8.9946,0.3982
888.0,9.0089,0.3975
889.0,9.0166,0.3998
890.0,9.0123,0.3985
891.0,9.0076,0.4066
892.0,9.016,0.4032
893.0,9.0175,0.3982
894.0,9.0207,0.3986
895.0,9.0097,0.3939
896.0,8.9975,0.4004
897.0,9.0022,0.3978
898.0,9.0181,0.4003
899.0,8.9877,0.3941
900.0,9.0055,0.3999
901.0,8.9941,0.4051
902.0,9.0004,0.4002
903.0,9.0192,0.3977
904.0,9.0029,0.3999
905.0,9.0007,0.3998
906.0,8.9796,0.4066
907.0,9.0112,0.399
908.0,9.0097,0.3964
909.0,9.0324,0.4001
910.0,8.9954,0.4006
911.0,9.0033,0.4017
912.0,9.0037,0.4023
913.0,9.0237,0.4059
914.0,8.9986,0.3982
915.0,9.0042,0.3979
916.0,9.0091,0.3944
917.0,9.0028,0.402
918.0,8.9933,0.3973
919.0,9.0029,0.4027
920.0,9.0161,0.3985
921.0,8.9846,0.4052
922.0,9.002,0.3957
923.0,8.9895,0.4031
924.0,9.0179,0.4027
925.0,8.9772,0.4016
926.0,8.9916,0.3966
927.0,9.0057,0.4016
928.0,9.0235,0.4004
929.0,8.999,0.3945
930.0,8.9917,0.4047
931.0,9.0282,0.399
932.0,8.9783,0.4044
933.0,8.967,0.3998
934.0,9.0066,0.4029
935.0,8.9925,0.3974
936.0,8.9847,0.4006
937.0,9.0106,0.4004
938.0,9.0037,0.399
939.0,8.9915,0.3974
940.0,8.9808,0.3908
941.0,9.0131,0.3975
942.0,9.0098,0.4021
943.0,8.9985,0.3958
944.0,9.0277,0.3964
945.0,8.9839,0.3957
946.0,8.9771,0.4006
947.0,8.9896,0.3973
948.0,8.9993,0.4037
949.0,9.0037,0.4022
950.0,8.9964,0.4006
951.0,9.0053,0.4009
952.0,8.9812,0.3977
953.0,9.0217,0.3977
954.0,8.9988,0.4021
955.0,9.0168,0.4027
956.0,9.0051,0.4021
957.0,9.0069,0.3986
958.0,9.0085,0.3988
959.0,9.0067,0.3972
960.0,9.0096,0.4023
961.0,9.0199,0.3941
962.0,9.0029,0.3934
963.0,9.0106,0.394
964.0,8.9987,0.3936
965.0,9.0216,0.4041
966.0,8.9899,0.4024
967.0,9.027,0.3964
968.0,8.9994,0.3997
969.0,8.9785,0.4044
970.0,9.0019,0.4015
971.0,8.9898,0.4063
972.0,9.0126,0.3997
973.0,8.9902,0.398
974.0,8.9933,0.3968
975.0,8.9717,0.4001
976.0,8.9932,0.4028
977.0,8.9636,0.4003
978.0,8.9762,0.3989
979.0,9.0114,0.4038
980.0,9.0118,0.4016
981.0,9.0064,0.3997
982.0,8.9855,0.3977
983.0,8.9993,0.3992
984.0,8.9999,0.4014
985.0,8.9826,0.3977
986.0,9.0226,0.3963
987.0,9.0132,0.3986
988.0,8.9967,0.3999
989.0,9.0004,0.4041
990.0,9.0031,0.3965
991.0,8.9694,0.4007
992.0,8.9963,0.3992
993.0,8.9898,0.3993
994.0,8.985,0.4046
995.0,8.9958,0.4002
996.0,9.027,0.3973
997.0,9.0096,0.4027
998.0,8.9914,0.4024
999.0,9.0086,0.397
1000.0,9.021,0.3964
1001.0,9.0139,0.4012
1002.0,9.0009,0.3999
1003.0,8.9903,0.3986
1004.0,9.0105,0.4032
1005.0,9.0059,0.3982
1006.0,9.0134,0.4013
1007.0,9.0095,0.4035
1008.0,9.0157,0.399
